username,sentimen,comment,translated_comment,case_folding,cleaning,lemmatization,remove_stopwords
caterinachandra,negatif,Mohon PUPR terhormat... Mohon bantuannya Di driyorejo kota baru di belakang citraland CBD banjir cukup tinggi kira2  Kapan akan di pasang gorong2 nya 🙏,"Respectfully requesting your assistance in Driyorejo, Kota Baru, behind Citraland CBD, where the flooding is quite high, I wonder when the drain will be installed.","respectfully requesting your assistance in driyorejo, kota baru, behind citraland cbd, where the flooding is quite high, i wonder when the drain will be installed.",respectfully requesting your assistance in driyorejo  kota baru  behind citraland cbd  where the flooding is quite high  i wonder when the drain will be installed,respectfully request assistance driyorejo kota baru citraland cbd flooding quite high wonder drain instal,respectfully request assistance driyorejo kota baru citraland cbd flooding high wonder drain instal
yudhabeye,negatif,Tinggal penertiban operasional jam truk. Biar manyar tambah jos 😬👍,Only operational truck jam adjustment is needed to make it even more powerful.,only operational truck jam adjustment is needed to make it even more powerful.,only operational truck jam adjustment is needed to make it even more powerful,only operational truck jam adjustment need make even more powerful,operational truck jam adjustment need powerful
massa.id_,positif,"Mantap pak, mohon di tambah kerindangan di tepi2 jalan ya pak semangat","Please add some greenery along the roadside, sir, and let's be enthusiastic about it.","please add some greenery along the roadside, sir, and let's be enthusiastic about it.",please add some greenery along the roadside  sir  and let s be enthusiastic about it,add greenery roadside sir let enthusiastic,add greenery roadside sir let enthusiastic
gio.wardhna,negatif,Tahap 2 tahap 3 siap2 macet rek 😂,"Gradually we're ready, but the traffic is terrible.","gradually we're ready, but the traffic is terrible.",gradually we re ready  but the traffic is terrible,gradually re ready traffic terrible,gradually ready traffic terrible
hendrastono,positif,BPN = Badan Pertanahan Nasional ,National Land Agency Body,national land agency body,national land agency body,national land agency body,national land agency body
anggittaaak,negatif,"Menganti kapan pak ? Terutama perempatan daerah pasar itu. Pusing tiap pagi selalu macet. Jalan kecil, yang ke pasar banyak parkir bahu jalan, tambah macet pak . capek 11 tahun tinggal di menganti, beberapa tahun terakhir gitu terus 😢😢😢 tolong diperhatikan yang ""gresik pinggiran"" juga dong 🙃","Especially in the Menganti market area, the small road to the market is always congested every morning, with many parked vehicles on the roadside, making it even more jammed, I'm tired of living in Menganti for the past few years, please pay attention to the Gresik peripheral area as well.","especially in the menganti market area, the small road to the market is always congested every morning, with many parked vehicles on the roadside, making it even more jammed, i'm tired of living in menganti for the past few years, please pay attention to the gresik peripheral area as well.",especially in the menganti market area  the small road to the market is always congested every morning  with many parked vehicles on the roadside  making it even more jammed  i m tired of living in menganti for the past few years  please pay attention to the gresik peripheral area as well,especially menganti market area small road market always congest morning many park vehicle roadside make even more jammed m tired live menganti past few year pay attention gresik peripheral area as well,especially menganti market area small road market congest morning park vehicle roadside jammed m tired live menganti past year pay attention gresik peripheral area
soemoja,positif,KBD tolong diperbaiki min,Please fix the keyboard.,please fix the keyboard.,please fix the keyboard,fix keyboard,fix keyboard
wijaya_im,negatif,"Apa gak ada rencana paling tidak sampai sembayat, manyar memang tidak macet tapi macetnya bergeser ke arah gresik utara","There is no plan at least until Sembayat, Manyar, indeed it's not congested, but the congestion has shifted towards North Gresik.","there is no plan at least until sembayat, manyar, indeed it's not congested, but the congestion has shifted towards north gresik.",there is no plan at least until sembayat  manyar  indeed it s not congested  but the congestion has shifted towards north gresik,plan least sembayat manyar indeed s congest congestion shift north gresik,plan sembayat manyar s congest congestion shift north gresik
sukiman631,negatif,Mohon truk yang parkir di pinggir jalan ditertibkan karena itu yang kadang buat macet juga dan membuat pinggir jalan rusak,I kindly request that trucks parked on the roadside be regulated as they sometimes cause congestion and damage to the roadside.,i kindly request that trucks parked on the roadside be regulated as they sometimes cause congestion and damage to the roadside.,i kindly request that trucks parked on the roadside be regulated as they sometimes cause congestion and damage to the roadside,kindly request truck park roadside regulate sometimes cause congestion damage roadside,kindly request truck park roadside regulate cause congestion damage roadside
ky_rizky2078,positif,@anggittaaak siap laksanakan,Ready to be executed.,ready to be executed.,ready to be executed,ready execute,ready execute
zainularifin119,positif,Alhamdulillaaah semoga menjadi berkah …,"Praise be to God, may it become a blessing.","praise be to god, may it become a blessing.",praise be to god  may it become a blessing,praise god become blessing,praise god blessing
andhitanisa,negatif,joss sampai jadi wisata seribu lubang 😂,_from Joss to become a thousand-hole tourist attraction_,_from joss to become a thousand-hole tourist attraction_,from joss to become a thousand hole tourist attraction,joss become hole tourist attraction,joss hole tourist attraction
soemoja,positif,ini saya panggilkan Gus nya. @ahmadmuhdlorali,I will call his Gus.,i will call his gus.,i will call his gus,call gus,gus
reogpawargo,negatif,Cerme min setelah rel kereta api sampai Polsek perlu diperluas @dputrgresikkab,The pedestrian path along the railway track needs to be expanded to the police station.,the pedestrian path along the railway track needs to be expanded to the police station.,the pedestrian path along the railway track needs to be expanded to the police station,pedestrian path railway track need expand police station,pedestrian path railway track need expand police station
ubaidil_mukhlas,negatif,Tambak kapan pak ?,"When was the dam built, sir?","when was the dam built, sir?",when was the dam built  sir,dam build,dam build
andhijoss,positif,Kalo bisa dari dulu lebih baik....🙏,It would have been better if it could have been done from the start.,it would have been better if it could have been done from the start.,it would have been better if it could have been done from the start,well do start,start
fery.herdianto__,negatif,"Iya pak tolong juga dijalan raya menganti juga dapat perhatian,.,.,.macet nya juga terasa pas pergi dan pulang kerja","Please help also on the highway, replacing it also gets attention, feeling stuck going to and from work.","please help also on the highway, replacing it also gets attention, feeling stuck going to and from work.",please help also on the highway  replacing it also gets attention  feeling stuck going to and from work,help also highway replace also get attention feeling stuck go work,help highway replace attention feeling stuck work
mas_mada92,negatif,Macetnya pindah di depan jiipe pak 😂,The traffic congestion moved in front of Pak Jiip's car.,the traffic congestion moved in front of pak jiip's car.,the traffic congestion moved in front of pak jiip s car,traffic congestion move front pak jiip s car,traffic congestion pak jiip s car
